Fecha;Dia;Nuevos;Recuperados;Fallecidos;Testeos;Testeos Totales;UCI
2020-02-02;0;0;;;;;
2020-03-03;1;1;;;;;
2020-03-04;2;2;;;;;
2020-03-05;3;1;;;;;
2020-03-06;4;1;;;;;
2020-03-07;5;2;;;;;
2020-03-08;6;3;;;;;
2020-03-09;7;3;;;;;
2020-03-10;8;4;;;;;
2020-03-11;9;6;;;;;
2020-03-12;10;11;;;;;
2020-03-13;11;9;;;;;
2020-03-14;12;18;;;;;
2020-03-15;13;14;;;;;
2020-03-16;14;81;;;;;
2020-03-17;15;45;;;;;
2020-03-18;16;37;;;;;8
2020-03-19;17;104;5;;;;19
2020-03-20;18;92;6;;;;32
2020-03-21;19;103;8;1;;;36
2020-03-22;20;95;8;1;;;29
2020-03-23;21;114;11;2;3463;;34
2020-03-24;22;176;17;2;;;40
2020-03-25;23;220;22;3;3290;10918;43
2020-03-26;24;164;33;4;4800;15718;44
2020-03-27;25;304;43;5;7387;23105;52
2020-03-28;26;299;61;6;3534;26639;81
2020-03-29;27;230;75;7;1771;28416;105
2020-03-30;28;310;156;8;3677;32096;122
2020-03-31;29;289;201;12;3046;35142;138
2020-04-01;30;293;234;16;2898;38040;173
2020-04-02;31;373;335;18;2685;40725;200
2020-04-03;32;333;427;22;3405;44130;237
2020-04-04;33;424;528;27;4467;48613;280
2020-04-05;34;310;618;34;3343;51956;307
2020-04-06;35;344;728;37;2098;54864;327
2020-04-07;36;301;898;43;2258;57122;337
2020-04-08;37;430;1115;48;3269;60391;362
2020-04-09;38;426;1274;57;7962;68353;360
2020-04-10;39;529;1571;65;4444;72797;383
2020-04-11;40;426;1864;73;3577;76374;383
2020-04-12;41;286;2059;80;5897;82271;387
2020-04-13;42;312;2367;82;2764;85035;387
